checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,num_existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,credit_risk_label,checking_status_eur,savings_status_eur,credit_amount_eur
<0 DM,24,existing credits paid duly till now,car (used),2812,unknown / no savings account,>=7 years,2,female : divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee / official,1,none,yes,1,good,<0 EUR,unknown / no savings account,2460.89
<0 DM,36,critical account / other credits,education,8065,<100 DM,1-4 years,3,female : divorced/separated/married,none,2,unknown / no property,25,none,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,7057.99
no checking account,21,critical account / other credits,car (used),3275,<100 DM,>=7 years,1,male : single,none,4,car or other (not in attribute 6),36,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,2866.08
no checking account,24,critical account / other credits,radio/television,2223,100-500 DM,>=7 years,4,male : single,none,4,building society savings / life insurance,52,bank,own,2,skilled employee / official,1,none,yes,1,good,no checking account,87-437 EUR,1945.43
>=200 DM / salary assignments,12,critical account / other credits,car (new),1480,500-1000 DM,unemployed,2,male : single,none,4,unknown / no property,66,bank,for free,3,unemployed / unskilled non-resident,1,none,yes,1,good,>=175 EUR / salary assignments,437-875 EUR,1295.2
<0 DM,24,existing credits paid duly till now,car (new),1371,unknown / no savings account,1-4 years,4,female : divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,unknown / no savings account,1199.81
no checking account,36,critical account / other credits,car (new),3535,<100 DM,4-7 years,4,male : single,none,4,car or other (not in attribute 6),37,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,3093.61
<0 DM,18,existing credits paid duly till now,radio/television,3509,<100 DM,4-7 years,4,female : divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,3070.86
no checking account,36,critical account / other credits,car (used),5711,>=1000 DM,>=7 years,4,male : single,none,2,car or other (not in attribute 6),38,none,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,>=875 EUR,4997.91
0-200 DM,18,existing credits paid duly till now,repairs,3872,<100 DM,unemployed,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),67,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,3388.53
0-200 DM,39,critical account / other credits,radio/television,4933,<100 DM,4-7 years,2,male : single,guarantor,2,real estate,25,none,own,2,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,4317.06
no checking account,24,critical account / other credits,car (new),1940,>=1000 DM,>=7 years,4,male : single,none,4,real estate,60,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,>=875 EUR,1697.77
0-200 DM,12,no credits taken / all paid duly,retraining,1410,<100 DM,1-4 years,2,male : single,none,2,real estate,31,none,own,1,unskilled resident,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,1233.94
0-200 DM,12,existing credits paid duly till now,car (new),836,100-500 DM,<1 year,4,female : divorced/separated/married,none,2,building society savings / life insurance,23,bank,own,1,unskilled resident,1,none,yes,2,bad,0-175 EUR,87-437 EUR,731.62
0-200 DM,20,existing credits paid duly till now,car (used),6468,unknown / no savings account,unemployed,1,male : divorced/separated,none,4,real estate,60,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,5660.39
0-200 DM,18,existing credits paid duly till now,business,1941,>=1000 DM,1-4 years,4,male : single,none,2,building society savings / life insurance,35,none,own,1,unskilled resident,1,"yes, registered under customer name",yes,1,good,0-175 EUR,>=875 EUR,1698.64
no checking account,22,existing credits paid duly till now,radio/television,2675,500-1000 DM,>=7 years,3,male : single,none,4,car or other (not in attribute 6),40,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,437-875 EUR,2340.99
no checking account,48,critical account / other credits,car (used),2751,unknown / no savings account,>=7 years,4,male : single,none,3,car or other (not in attribute 6),38,none,own,2,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,2407.5
0-200 DM,48,delay in paying off in the past,education,6224,<100 DM,>=7 years,4,male : single,none,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,5446.86
<0 DM,40,critical account / other credits,education,5998,<100 DM,1-4 years,4,male : single,none,3,unknown / no property,27,bank,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,5249.08
0-200 DM,21,existing credits paid duly till now,business,1188,<100 DM,>=7 years,2,female : divorced/separated/married,none,4,building society savings / life insurance,39,none,own,1,skilled employee / official,2,none,yes,2,bad,0-175 EUR,<87 EUR,1039.66
no checking account,24,existing credits paid duly till now,car (used),6313,unknown / no savings account,>=7 years,3,male : single,none,4,car or other (not in attribute 6),41,none,own,1,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,5524.75
no checking account,6,critical account / other credits,furniture/equipment,1221,unknown / no savings account,1-4 years,1,male : married/widowed,none,2,building society savings / life insurance,27,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,1068.54
>=200 DM / salary assignments,24,existing credits paid duly till now,furniture/equipment,2892,<100 DM,>=7 years,3,male : divorced/separated,none,4,unknown / no property,51,none,for free,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,2530.9
no checking account,24,existing credits paid duly till now,furniture/equipment,3062,500-1000 DM,>=7 years,4,male : single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,2679.67
no checking account,9,existing credits paid duly till now,furniture/equipment,2301,100-500 DM,<1 year,2,female : divorced/separated/married,none,4,building society savings / life insurance,22,none,rent,1,skilled employee / official,1,none,yes,1,good,no checking account,87-437 EUR,2013.69
<0 DM,18,existing credits paid duly till now,car (used),7511,unknown / no savings account,>=7 years,1,male : single,none,4,building society savings / life insurance,51,none,for free,1,skilled employee / official,2,"yes, registered under customer name",yes,2,bad,<0 EUR,unknown / no savings account,6573.16
no checking account,12,critical account / other credits,furniture/equipment,1258,<100 DM,<1 year,2,female : divorced/separated/married,none,4,building society savings / life insurance,22,none,rent,2,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,1100.92
no checking account,24,delay in paying off in the past,car (new),717,unknown / no savings account,>=7 years,4,male : married/widowed,none,4,car or other (not in attribute 6),54,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,627.47
0-200 DM,9,existing credits paid duly till now,car (new),1549,unknown / no savings account,<1 year,4,male : single,none,2,real estate,35,none,own,1,unemployed / unskilled non-resident,1,none,yes,1,good,0-175 EUR,unknown / no savings account,1355.59
no checking account,24,critical account / other credits,education,1597,<100 DM,>=7 years,4,male : single,none,4,unknown / no property,54,none,for free,2,skilled employee / official,2,none,yes,1,good,no checking account,<87 EUR,1397.6
0-200 DM,18,critical account / other credits,radio/television,1795,<100 DM,>=7 years,3,female : divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled resident,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,1570.87
<0 DM,20,critical account / other credits,furniture/equipment,4272,<100 DM,>=7 years,1,female : divorced/separated/married,none,4,building society savings / life insurance,24,none,own,2,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,3738.59
no checking account,12,critical account / other credits,radio/television,976,unknown / no savings account,>=7 years,4,male : single,none,4,car or other (not in attribute 6),35,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,854.13
0-200 DM,12,existing credits paid duly till now,car (new),7472,unknown / no savings account,unemployed,1,female : divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed / unskilled non-resident,1,none,yes,1,good,0-175 EUR,unknown / no savings account,6539.03
<0 DM,36,existing credits paid duly till now,car (new),9271,<100 DM,4-7 years,2,male : single,none,1,car or other (not in attribute 6),24,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,8113.4
0-200 DM,6,existing credits paid duly till now,radio/television,590,<100 DM,<1 year,3,male : married/widowed,none,3,real estate,26,none,own,1,unskilled resident,1,none,no,1,good,0-175 EUR,<87 EUR,516.33
no checking account,12,critical account / other credits,radio/television,930,unknown / no savings account,>=7 years,4,male : single,none,4,real estate,65,none,own,4,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,813.88
0-200 DM,42,all credits at this bank paid duly,car (used),9283,<100 DM,unemployed,1,male : single,none,2,unknown / no property,55,bank,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,8123.91
0-200 DM,15,no credits taken / all paid duly,car (new),1778,<100 DM,<1 year,2,female : divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed / unskilled non-resident,1,none,yes,2,bad,0-175 EUR,<87 EUR,1556.0
0-200 DM,8,existing credits paid duly till now,business,907,<100 DM,<1 year,3,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,793.75
0-200 DM,6,existing credits paid duly till now,radio/television,484,<100 DM,4-7 years,3,male : married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled resident,1,none,yes,1,good,0-175 EUR,<87 EUR,423.57
<0 DM,36,critical account / other credits,car (used),9629,<100 DM,4-7 years,4,male : single,none,4,car or other (not in attribute 6),24,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,8426.7
<0 DM,48,existing credits paid duly till now,domestic appliances,3051,<100 DM,1-4 years,3,male : single,none,4,car or other (not in attribute 6),54,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,2670.05
<0 DM,48,existing credits paid duly till now,car (new),3931,<100 DM,4-7 years,4,male : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,2,none,yes,2,bad,<0 EUR,<87 EUR,3440.17
0-200 DM,36,delay in paying off in the past,car (new),7432,<100 DM,1-4 years,2,female : divorced/separated/married,none,2,building society savings / life insurance,54,none,rent,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,6504.03
no checking account,6,existing credits paid duly till now,domestic appliances,1338,500-1000 DM,1-4 years,1,male : divorced/separated,none,4,real estate,62,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,437-875 EUR,1170.93
no checking account,6,critical account / other credits,radio/television,1554,<100 DM,4-7 years,1,female : divorced/separated/married,none,2,car or other (not in attribute 6),24,none,rent,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1359.96
<0 DM,36,existing credits paid duly till now,others,15857,<100 DM,unemployed,2,male : divorced/separated,co-applicant,3,car or other (not in attribute 6),43,none,own,1,management / self-employed / highly qualified,1,none,yes,1,good,<0 EUR,<87 EUR,13877.06
<0 DM,18,existing credits paid duly till now,radio/television,1345,<100 DM,1-4 years,4,male : married/widowed,none,3,real estate,26,bank,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,1177.06
no checking account,12,existing credits paid duly till now,car (new),1101,<100 DM,1-4 years,3,male : married/widowed,none,2,real estate,27,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,963.53
>=200 DM / salary assignments,12,existing credits paid duly till now,radio/television,3016,<100 DM,1-4 years,3,male : married/widowed,none,1,car or other (not in attribute 6),24,none,own,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,2639.42
<0 DM,36,existing credits paid duly till now,furniture/equipment,2712,<100 DM,>=7 years,2,male : single,none,2,building society savings / life insurance,41,bank,own,1,skilled employee / official,2,none,yes,2,bad,<0 EUR,<87 EUR,2373.37
<0 DM,8,critical account / other credits,car (new),731,<100 DM,>=7 years,4,male : single,none,4,real estate,47,none,own,2,unskilled resident,1,none,yes,1,good,<0 EUR,<87 EUR,639.73
no checking account,18,critical account / other credits,furniture/equipment,3780,<100 DM,<1 year,3,male : divorced/separated,none,2,car or other (not in attribute 6),35,none,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,3308.02
<0 DM,21,critical account / other credits,car (new),1602,<100 DM,>=7 years,4,male : married/widowed,none,3,car or other (not in attribute 6),30,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,1401.97
<0 DM,18,critical account / other credits,car (new),3966,<100 DM,>=7 years,1,female : divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,3470.8
no checking account,18,no credits taken / all paid duly,business,4165,<100 DM,1-4 years,2,male : single,none,2,car or other (not in attribute 6),36,stores,own,2,skilled employee / official,2,none,yes,2,bad,no checking account,<87 EUR,3644.95
<0 DM,36,existing credits paid duly till now,car (used),8335,unknown / no savings account,>=7 years,3,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,unknown / no savings account,7294.28
0-200 DM,48,delay in paying off in the past,business,6681,unknown / no savings account,1-4 years,4,male : single,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,5846.8
no checking account,24,delay in paying off in the past,business,2375,500-1000 DM,1-4 years,4,male : single,none,2,car or other (not in attribute 6),44,none,own,2,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,2078.45
<0 DM,18,existing credits paid duly till now,car (new),1216,<100 DM,<1 year,4,female : divorced/separated/married,none,3,car or other (not in attribute 6),23,none,rent,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,1064.17
<0 DM,45,no credits taken / all paid duly,business,11816,<100 DM,>=7 years,2,male : single,none,4,car or other (not in attribute 6),29,none,rent,2,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,10340.63
0-200 DM,24,existing credits paid duly till now,radio/television,5084,unknown / no savings account,>=7 years,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),42,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,4449.2
>=200 DM / salary assignments,15,existing credits paid duly till now,radio/television,2327,<100 DM,<1 year,2,female : divorced/separated/married,none,3,real estate,25,none,own,1,unskilled resident,1,none,yes,2,bad,>=175 EUR / salary assignments,<87 EUR,2036.45
<0 DM,12,no credits taken / all paid duly,car (new),1082,<100 DM,1-4 years,4,male : single,none,4,car or other (not in attribute 6),48,bank,own,2,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,946.9
no checking account,12,existing credits paid duly till now,radio/television,886,unknown / no savings account,1-4 years,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),21,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,775.37
no checking account,4,existing credits paid duly till now,furniture/equipment,601,<100 DM,<1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled resident,2,none,yes,1,good,no checking account,<87 EUR,525.96
<0 DM,24,critical account / other credits,car (used),2957,<100 DM,>=7 years,4,male : single,none,4,building society savings / life insurance,63,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,2587.78
no checking account,24,critical account / other credits,radio/television,2611,<100 DM,>=7 years,4,male : married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,2284.99
<0 DM,36,existing credits paid duly till now,furniture/equipment,5179,<100 DM,4-7 years,4,male : single,none,2,building society savings / life insurance,29,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,4532.34
no checking account,21,delay in paying off in the past,car (used),2993,<100 DM,1-4 years,3,male : single,none,2,real estate,28,stores,own,2,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,2619.29
no checking account,18,existing credits paid duly till now,repairs,1943,<100 DM,<1 year,4,female : divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes,2,bad,no checking account,<87 EUR,1700.39
no checking account,24,all credits at this bank paid duly,business,1559,<100 DM,4-7 years,4,male : single,none,4,car or other (not in attribute 6),50,bank,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1364.34
no checking account,18,existing credits paid duly till now,furniture/equipment,3422,<100 DM,>=7 years,4,male : single,none,4,building society savings / life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,2994.72
0-200 DM,21,existing credits paid duly till now,furniture/equipment,3976,unknown / no savings account,4-7 years,2,male : single,none,3,car or other (not in attribute 6),35,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,3479.55
no checking account,18,existing credits paid duly till now,car (new),6761,unknown / no savings account,1-4 years,2,male : single,none,4,car or other (not in attribute 6),68,none,rent,2,skilled employee / official,1,none,yes,2,bad,no checking account,unknown / no savings account,5916.81
no checking account,24,existing credits paid duly till now,car (new),1249,<100 DM,<1 year,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1093.05
<0 DM,9,existing credits paid duly till now,radio/television,1364,<100 DM,4-7 years,3,male : single,none,4,real estate,59,none,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,1193.69
<0 DM,12,existing credits paid duly till now,radio/television,709,<100 DM,>=7 years,4,male : single,none,4,real estate,57,stores,own,1,unskilled resident,1,none,yes,2,bad,<0 EUR,<87 EUR,620.47
<0 DM,20,critical account / other credits,car (new),2235,<100 DM,1-4 years,4,male : married/widowed,guarantor,2,building society savings / life insurance,33,bank,rent,2,skilled employee / official,1,none,no,2,bad,<0 EUR,<87 EUR,1955.93
no checking account,24,critical account / other credits,car (used),4042,unknown / no savings account,4-7 years,3,male : single,none,4,building society savings / life insurance,43,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,3537.31
no checking account,15,critical account / other credits,radio/television,1471,<100 DM,1-4 years,4,male : single,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1287.33
<0 DM,18,all credits at this bank paid duly,car (new),1442,<100 DM,4-7 years,4,male : single,none,4,unknown / no property,32,none,for free,2,unskilled resident,2,none,yes,2,bad,<0 EUR,<87 EUR,1261.95
no checking account,36,delay in paying off in the past,car (new),10875,<100 DM,>=7 years,2,male : single,none,2,car or other (not in attribute 6),45,none,own,2,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,9517.13
no checking account,24,existing credits paid duly till now,car (new),1474,100-500 DM,<1 year,4,male : married/widowed,none,3,real estate,33,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,87-437 EUR,1289.95
no checking account,10,existing credits paid duly till now,retraining,894,unknown / no savings account,4-7 years,4,female : divorced/separated/married,none,3,building society savings / life insurance,40,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,782.37
no checking account,15,critical account / other credits,furniture/equipment,3343,<100 DM,1-4 years,4,male : single,none,2,unknown / no property,28,none,for free,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,2925.59
<0 DM,15,existing credits paid duly till now,car (new),3959,<100 DM,1-4 years,3,female : divorced/separated/married,none,2,building society savings / life insurance,29,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,3464.67
no checking account,9,existing credits paid duly till now,car (new),3577,100-500 DM,1-4 years,1,male : single,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,none,no,1,good,no checking account,87-437 EUR,3130.37
no checking account,24,critical account / other credits,car (used),5804,>=1000 DM,1-4 years,4,male : single,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,>=875 EUR,5079.3
no checking account,18,delay in paying off in the past,business,2169,<100 DM,1-4 years,4,male : married/widowed,none,2,car or other (not in attribute 6),28,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,no checking account,<87 EUR,1898.17
<0 DM,24,existing credits paid duly till now,radio/television,2439,<100 DM,<1 year,4,female : divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,2134.46
no checking account,27,critical account / other credits,furniture/equipment,4526,>=1000 DM,<1 year,4,male : single,none,2,real estate,32,stores,own,2,unskilled resident,2,"yes, registered under customer name",yes,1,good,no checking account,>=875 EUR,3960.87
no checking account,10,existing credits paid duly till now,furniture/equipment,2210,<100 DM,1-4 years,2,male : single,none,2,real estate,25,bank,rent,1,unskilled resident,1,none,yes,2,bad,no checking account,<87 EUR,1934.06
no checking account,15,existing credits paid duly till now,furniture/equipment,2221,500-1000 DM,1-4 years,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),20,none,rent,1,skilled employee / official,1,none,yes,1,good,no checking account,437-875 EUR,1943.68
<0 DM,18,existing credits paid duly till now,radio/television,2389,<100 DM,<1 year,4,female : divorced/separated/married,none,1,car or other (not in attribute 6),27,stores,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,2090.7
no checking account,12,critical account / other credits,furniture/equipment,3331,<100 DM,>=7 years,2,male : single,none,4,building society savings / life insurance,42,stores,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,2915.08
no checking account,36,existing credits paid duly till now,business,7409,unknown / no savings account,>=7 years,3,male : single,none,2,building society savings / life insurance,37,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,6483.9
<0 DM,12,existing credits paid duly till now,furniture/equipment,652,<100 DM,>=7 years,4,female : divorced/separated/married,none,4,building society savings / life insurance,24,none,rent,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,570.59
no checking account,36,delay in paying off in the past,furniture/equipment,7678,500-1000 DM,4-7 years,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),40,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,6719.31
>=200 DM / salary assignments,6,critical account / other credits,car (new),1343,<100 DM,>=7 years,1,male : single,none,4,real estate,46,none,own,2,skilled employee / official,2,none,no,1,good,>=175 EUR / salary assignments,<87 EUR,1175.31
<0 DM,24,critical account / other credits,business,1382,100-500 DM,4-7 years,4,male : single,none,1,real estate,26,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,<0 EUR,87-437 EUR,1209.44
no checking account,15,existing credits paid duly till now,domestic appliances,874,unknown / no savings account,<1 year,4,female : divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,764.87
<0 DM,12,existing credits paid duly till now,furniture/equipment,3590,<100 DM,1-4 years,2,male : single,co-applicant,2,building society savings / life insurance,29,none,own,1,unskilled resident,2,none,yes,1,good,<0 EUR,<87 EUR,3141.75
0-200 DM,11,critical account / other credits,car (new),1322,>=1000 DM,1-4 years,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),40,none,own,2,skilled employee / official,1,none,yes,1,good,0-175 EUR,>=875 EUR,1156.93
<0 DM,18,all credits at this bank paid duly,radio/television,1940,<100 DM,<1 year,3,male : single,co-applicant,4,unknown / no property,36,bank,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,1697.77
no checking account,36,existing credits paid duly till now,radio/television,3595,<100 DM,>=7 years,4,male : single,none,2,car or other (not in attribute 6),28,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,3146.12
<0 DM,9,existing credits paid duly till now,car (new),1422,<100 DM,<1 year,3,male : single,none,2,unknown / no property,27,none,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,1244.45
no checking account,30,critical account / other credits,radio/television,6742,unknown / no savings account,4-7 years,2,male : single,none,3,building society savings / life insurance,36,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,5900.18
no checking account,24,existing credits paid duly till now,car (used),7814,<100 DM,4-7 years,3,male : single,none,3,car or other (not in attribute 6),38,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,6838.33
no checking account,24,existing credits paid duly till now,car (used),9277,unknown / no savings account,1-4 years,2,male : divorced/separated,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,8118.66
0-200 DM,30,critical account / other credits,car (new),2181,unknown / no savings account,>=7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,1,good,0-175 EUR,unknown / no savings account,1908.68
no checking account,18,critical account / other credits,radio/television,1098,<100 DM,unemployed,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),65,none,own,2,unemployed / unskilled non-resident,1,none,yes,1,good,no checking account,<87 EUR,960.9
0-200 DM,24,existing credits paid duly till now,furniture/equipment,4057,<100 DM,4-7 years,3,male : divorced/separated,none,3,car or other (not in attribute 6),43,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,3550.44
<0 DM,12,existing credits paid duly till now,education,795,<100 DM,<1 year,4,female : divorced/separated/married,none,4,building society savings / life insurance,53,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,695.73
0-200 DM,24,critical account / other credits,business,2825,unknown / no savings account,4-7 years,4,male : single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,2472.26
0-200 DM,48,existing credits paid duly till now,business,15672,<100 DM,1-4 years,2,male : single,none,2,car or other (not in attribute 6),23,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,13715.16
no checking account,36,critical account / other credits,car (new),6614,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),34,none,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,5788.16
no checking account,28,all credits at this bank paid duly,car (used),7824,unknown / no savings account,<1 year,3,male : single,guarantor,4,real estate,40,bank,rent,2,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,6847.08
<0 DM,27,critical account / other credits,business,2442,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),43,stores,own,4,management / self-employed / highly qualified,2,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,2137.09
no checking account,15,critical account / other credits,radio/television,1829,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),46,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1600.63
<0 DM,12,critical account / other credits,car (new),2171,<100 DM,1-4 years,4,male : single,none,4,building society savings / life insurance,38,bank,own,2,unskilled resident,1,none,no,1,good,<0 EUR,<87 EUR,1899.92
0-200 DM,36,critical account / other credits,car (used),5800,<100 DM,1-4 years,3,male : single,none,4,car or other (not in attribute 6),34,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,5075.8
